,remove_numbers
16420,polisettty ha kada pulamala appudu face happy ga undhi and bhogimanta dhaggara malli repeated song pettaru kada akkada kuda muchataina janta annappudu iddaru okarinokaru bhale chusikunnparu avunu sis director inthe continue chesthe bagundu
19354,polisettty ha oka sari sudden ga gam ni akasaniki yethestaru malli next day asalu gam ani oka serial kuda undha anattu behave chestaru star maa vala ni chustey chala kopam vastadhi promos ee sarigga pettaru pettey vatilo malli mistakes
19355,polisettty ha sis yapudu bore kodithey apudu chudachu first nunchi gam ni malli chustuntey aa feeling asalu chepakarledhu
18912,polisettty ha sister miru baga cheparu eppudu vasu gurichi baga ekkuvaga kuda alochistadu love realization kosame ei new character sister vasu ki chepakapoeina thanalo thanu release aeina chalu sister ante mana rishi character kochamu different kada ani manasulone anukotadu kada
16878,polisettty haa meru kd ni end cheyyali anukunte vallu like cheyandi ani daniki chudandi enni likes oo gam ni end cheyyali ani ikkade kadu ekkada pettina likes ravu kd ni end cheyyali ani ekkada pettina likes vastai
17804,polisettty haa true lets c how this director handles
17452,polisettty haan avnu sis vasu piliste mam enduku vastaru
17832,polisettty hmmm avnu ippatlo rishidhara scenes expect cheyalememo sis
16445,polisettty insta lo req pedatanu accept ceyyandi ani anna sis kani medi public ee kada sis
19583,polisettty intaki starting bgm e promo lo eh movie lodi
16613,polisettty just ignoring is best for every thing irrespective of language or state we should support our mukesh raksha
19236,polisettty kachitanga chudakundane pedatharu sis promos chusi pettestunaru anukunta serial chustey ardam avuthadhi promos lo antey dreams unntai adhe dream aa real aa teliyakunda pettestaru comments
19103,polisettty kada super undi rishi ithe vella vaipu chupinche janta anagane em siggupaduthunnaro
17808,polisettty kk sis what u saying is perfectly fine sry for thinking about that alot kk i am waiting for rishi vasu track hope director bring gud interesting track from now onwards
19028,polisettty ledu naaku ayyithe routine avvuthaadi ippudu serial ade rishi ki koodaa new character entry unte appudu serial different gaa untaadi anni serials tho compare chesthe adi meeku ardam kaavatledu
19411,polisettty likes kosamey ikkada comments chestunattu unnaru ikkada gam fans yakuva kadha sis manam asalu like cheyamu
21525,polisettty madam kosame ee serial chustumte recently episodes lo aavida seens chala thakkuva vumtanaai
18528,polisettty mana muggrini rushi sir bench yekki numchobedatharu nenu geeste yevarino pogadathanarani
19427,polisettty mana serial ni pogudukundhamu kani vere serialsni emi anavadhu endukante mana gam concept lo okarini thakkuva cheyakudadhu kadha konnichotla gam fans voorike anni serial ni tidhthu vuntaru ani cnts chadivanu enduku ala manaki mana serial ni enthina pogudukundhmu vere serialni tidthu aithe vadhu
21523,polisettty me request ni accept chestaanu kaani na comment respect ful gaane pedathanu rushi sir ane amtaanu vaadu vedu ani yeppudu pettanu aa situation batti pedathanu thappa rushi sir amte only negative pettanu
19585,polisettty medicine akarledu mana aarani deepam serial ni corona ki okasari chupinchina chalu apudu corona swachandanga suicide cheskuntundi
18987,polisettty mee comments annitlo positive sense naku chala nachindi arguement la kakunda convincing laaga
19231,polisettty meme okatey kadhu sis you tube lo oka channel lo mana serial medha trolls chesaru adhe kuda dgp intlo jarigina scenes tho trolls vesaru
18001,polisettty meru chpinathi carot kavachu sorry chpathu fit chthnthi ani athgano anukunamu thnu ala chpasariki ani why tq for reply meku me family ki happy pongal
19382,polisettty middle lo bb cmt okkati gam cmt ni vethukovadame saripothundi
18831,polisettty miru only rishi gurinchi maatrame think chestunaru rishi point of u lo maatrame chustunaru nenu vasu point of u lo chusi cheptunna miru vasu gurinchi think cheste nenu chepindi ardam avutundi vasu ki kuda feelings untayi not only for rishi vasu hurt avutundi ga rishi epudu misunderstand cheskunte e serial hero oriented serial laga undi mottam rishi gurinche undi
19768,polisettty naa feeling ni nenu cheppavu ayina meku yendhuku rishi la feel ayyipotunnaraa yentii
20157,polisettty naku telisi ha new character vasu ni gani love chestadu amo appudu rishi propose chestadomo ani anukotunanu abai tho vasu close ga untudomo appudu serial super
21203,polisettty nenu edi okka serial le konchem istam ga chustha e madya week nunchi okka vishayam lag chesthunnaru anduke koapam vachindi miru feel ithe sry
18544,polisettty nenu na comment akada naina pedata but nuv na comment kinda petaku idi na personal comment nuv ni personal petuko but star maa petedi andariki dont do
20592,polisettty nenu na opinion cheppanu memalni reply evvamani adagaledu ga
17831,polisettty new promo lo chat cheddam le sis
19605,polisettty nijama miku yla telusu sister
19279,polisettty nijamey sis asalu aa serial ki ika hero avasaram ledhu heroine and villan untey saripothundhi vallu kottukuni godavalu aipoyaka hero ni enter chestaru
21881,polisettty nuvu nathone undali ani chepad ga adi prema kada
19603,polisettty o avuna kani asalu ala yla tisaru inka acp character mari andhuku petaru aslu eppudu new character amichestaro chudali mari sister
20151,polisettty offcourse idi just serial but realitylo ilantivi jarigithe nenu encourage cheyanu ade cheptunna
17228,polisettty ohh okay super undi peru
20260,polisettty okay nenu rushi sir ni yemi thakkuva chesimatladaledhu rushi sir kuda madam vaipu ala chuse episode maku okati vastumdhi
21232,polisettty pettali pettakapothe ela top channel lo ela undo idi naaku ardam kaavatledu
19723,polisettty pournami serial kiran kanth aa
21189,polisettty realize ayyevaraku aina self respect kadandi next scenes lo rishi realize ayyakaa okevela vasu ni aduguthe aa roju endhuku question cheyaledu ani monna car lo realize ayyaka papers gurinchi munde cheppochu kadaa annaru andhuke mundu unna vasu laga unte thanu rishi ni oppose cheseki untadi ippatila unte inkaa weak aipothundi just my opinion
19724,polisettty rishi ki competition aa shoot pics lo unnada
21268,polisettty s one month ayina tippichukovali vasu love scenes late ga start ayina parle
21806,polisettty sir emi vinaro ledo manaku sariga chupincha ledu vasu pushpa tho mataladina matalu gurinchi vasu pelli gurinchi clear ga cheypina taruvata kuda ala alochinchadam tappu kada
16617,polisettty sis kondaru anthe edho villu cheppina antha easy anukuntanaru acting ante kannada or telugu hindi tamil all had own way of experience ee kuda s la tthink chesthunnaru villu mararu
16448,polisettty sis nenithe dir ni malli questions adaganu
17626,polisettty sss sissy naa dp ela vundi raksha angel bavunda
18805,polisettty sssss tq for reply sister
21515,polisettty super miru chala correct ga cheparu
21808,polisettty tanu kalatho chuda ledu mahi sir cheypindhi sariga vina ledu mahi sir emani cheyparu sireesh tana pelli gurinchi matladaniki vasu ni restaurant ki pillichadu ani cheypithe sir ki emi artham ayindhi
19132,polisettty thana maata nammaledani chinna point kosam press meet pedtundi first episodes lo ippudu emayindi adantha anipistundi ofcourse gurudakshina ayyundachu kani emo andi na opinion idi ala anipinchindi
